Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:16:44.120,-9999,-9999,1000.86,0.15322891,3.8307228,9.069236,-13.4375,38.5625,11.6875,0.062308256,0.6389651,0.119729586,360.0,-9999,-9999,-9999
12:16:44.234,-9999,-9999,1000.75995,0.32561144,2.0111294,9.126697,-10.875,40.9375,7.9375,0.19792034,0.013439035,0.0012217305,360.0,-9999,-9999,-9999
12:16:44.334,-9999,-9999,1000.75995,0.19153613,2.030283,9.414001,-10.625,41.1875,7.25,0.065973446,0.15027285,0.0,360.0,-9999,-9999,-9999
12:16:44.449,-9999,-9999,1000.82,0.2873042,2.1643584,9.241618,-10.4375,41.4375,7.0,0.039095376,0.105068825,0.02565634,360.0,-9999,-9999,-9999
12:16:44.552,-9999,-9999,1000.86,0.1340753,2.1452048,9.203311,-10.1875,41.3125,6.875,0.087964594,0.09162979,-0.002443461,360.0,-9999,-9999,-9999
12:16:44.663,-9999,-9999,1000.75995,0.17238252,2.1068976,9.337387,-10.0625,41.25,6.6875,-0.02443461,0.13805555,0.056199603,360.0,-9999,-9999,-9999
12:16:44.765,-9999,-9999,1000.75995,0.22984336,2.2026656,9.375694,-9.875,41.375,6.75,0.06352998,0.16126843,0.0,360.0,-9999,-9999,-9999
12:16:44.870,-9999,-9999,1000.79,0.19153613,2.1068976,9.509769,-9.75,41.125,7.5,0.052534413,0.17348573,0.037873644,360.0,-9999,-9999,-9999
12:16:44.979,-9999,-9999,1000.86,0.21068975,2.030283,9.414001,-9.9375,41.3125,7.1875,-0.12339478,0.0036651916,-0.039095376,360.0,-9999,-9999,-9999
12:16:45.081,-9999,-9999,1000.73,0.1340753,2.0685902,9.299079,-10.3125,41.3125,7.8125,-0.034208454,0.028099801,0.036651913,360.0,-9999,-9999,-9999
12:16:45.192,-9999,-9999,1000.79,0.24899697,2.0111294,9.471462,-11.0,40.9375,7.1875,0.039095376,0.07819075,0.02565634,360.0,-9999,-9999,-9999
12:16:45.296,-9999,-9999,1000.86,0.15322891,1.9919758,9.414001,-11.3125,41.1875,7.1875,0.058643065,0.10995574,-0.004886922,360.0,-9999,-9999,-9999
12:16:45.396,-9999,-9999,1000.79,0.19153613,2.0685902,9.433155,-11.125,41.3125,7.4375,0.08552113,0.1160644,-0.010995574,360.0,-9999,-9999,-9999
12:16:45.502,-9999,-9999,1000.73,0.095768064,2.0685902,9.414001,-10.875,41.1875,7.875,0.032986723,0.15271631,0.04153884,360.0,-9999,-9999,-9999
12:16:45.614,-9999,-9999,1000.79,0.21068975,2.0111294,9.528923,-10.75,41.25,7.875,0.02443461,0.10751228,0.012217305,360.0,-9999,-9999,-9999
12:16:45.714,-9999,-9999,1000.79,0.076614454,2.1068976,9.299079,-10.3125,41.25,7.8125,0.06352998,0.0842994,-0.0061086523,360.0,-9999,-9999,-9999
12:16:45.822,-9999,-9999,1000.75995,0.1340753,2.0494366,9.394848,-10.9375,41.9375,7.8125,0.103847094,0.09896017,0.002443461,360.0,-9999,-9999,-9999
12:16:45.929,-9999,-9999,1000.75995,0.038307227,2.087744,9.433155,-10.8125,41.25,7.5625,0.05375614,0.12583824,0.004886922,360.0,-9999,-9999,-9999
12:16:46.030,-9999,-9999,1000.82,0.11492168,2.0111294,9.528923,-10.4375,40.75,7.3125,0.036651913,0.14660765,0.008552114,360.0,-9999,-9999,-9999
12:16:46.132,-9999,-9999,1000.79,0.15322891,1.9536686,8.954314,-10.25,41.125,6.8125,0.013439035,0.015882496,-0.02443461,360.0,-9999,-9999,-9999
12:16:46.244,-9999,-9999,1000.86,0.17238252,1.9728222,9.433155,-10.0625,41.6875,7.9375,-0.0061086523,0.032986723,0.018325957,360.0,-9999,-9999,-9999
12:16:46.345,-9999,-9999,1000.79,0.15322891,2.1068976,9.375694,-10.0625,41.75,8.5625,0.19425514,0.10140363,-0.07086037,360.0,-9999,-9999,3
12:16:46.447,-9999,-9999,1000.75995,0.15322891,2.0685902,9.337387,-10.1875,41.5625,8.6875,0.059864793,0.07452556,-0.028099801,360.0,-9999,-9999,3
12:16:46.551,-9999,-9999,1000.75995,0.17238252,2.0111294,9.490616,-10.3125,41.6875,8.125,0.017104227,0.09285152,-0.0036651916,360.0,-9999,-9999,3
12:16:46.654,-9999,-9999,1000.82,0.1340753,2.0111294,9.414001,-10.0,41.1875,7.375,0.05497787,0.13072516,0.037873644,360.0,-9999,-9999,3
12:16:46.762,-9999,-9999,1000.86,0.095768064,2.0111294,9.490616,-9.9375,41.5,7.375,0.018325957,0.095294975,0.002443461,360.0,-9999,-9999,3
12:16:46.863,-9999,-9999,1000.82,0.19153613,1.8962077,9.433155,-10.0625,41.9375,7.6875,0.04642576,0.11484267,0.06352998,360.0,-9999,-9999,3
12:16:46.965,-9999,-9999,1000.82,0.21068975,1.9153614,9.528923,-9.875,41.5,8.5625,0.029321533,0.10262536,0.02321288,360.0,-9999,-9999,3
12:16:47.079,-9999,-9999,1000.79,0.21068975,1.8962077,9.548077,-9.6875,42.1875,8.5,0.010995574,0.062308256,0.002443461,360.0,-9999,-9999,3
12:16:47.182,-9999,-9999,1000.75995,0.19153613,2.0111294,9.356541,-9.6875,42.6875,8.5,0.05131268,0.06352998,-0.02076942,360.0,-9999,-9999,3
12:16:47.292,-9999,-9999,1000.88995,0.15322891,1.9728222,9.490616,-10.1875,42.1875,8.1875,-0.009773844,0.14660765,0.004886922,360.0,-9999,-9999,3
12:16:47.409,-9999,-9999,1000.79,0.11492168,1.934515,9.548077,-10.1875,42.125,8.375,0.02321288,0.0720821,0.012217305,360.0,-9999,-9999,3
12:16:47.522,-9999,-9999,1000.82,0.17238252,2.1452048,9.394848,-9.6875,42.5,8.5625,0.042760566,0.095294975,0.002443461,360.0,-9999,-9999,3
12:16:47.626,-9999,-9999,1000.88995,0.05746084,2.2601264,9.260772,-9.8125,42.6875,8.25,0.17470746,0.17592919,-0.030543262,374.0,-9999,-9999,3
12:16:47.736,-9999,-9999,1000.79,0.05746084,2.2601264,9.203311,-9.5,42.8125,8.4375,0.04886922,0.25900686,0.09040806,374.0,-9999,-9999,3
12:16:47.838,-9999,-9999,1000.79,0.038307227,1.9919758,9.394848,-10.125,43.125,8.3125,0.05131268,0.19792034,0.0,374.0,-9999,-9999,3
12:16:47.946,-9999,-9999,1000.75995,0.019153614,1.9728222,9.375694,-10.625,43.125,8.0,-0.07696902,0.10140363,0.07941248,374.0,-9999,-9999,3
12:16:48.051,-9999,-9999,1000.86,-0.019153614,1.8579005,9.279925,-10.0,42.75,7.9375,-0.008552114,0.15149458,0.04642576,374.0,-9999,-9999,3
