Time	Temp	Hum	Baro	Acc(x)	Acc(y)	Acc(z)	Mag(x)	Mag(y)	Mag(z)	Gyro(x)	Gyro(y)	Gyro(z)	Light
19:28:44	-9999	-9999	1007.05	-0.24899697	4.405331	4.654328	-1.0	-33.375	-31.875	-0.2761111	-0.20769419	-0.34697145	434.0
19:28:45	-9999	-9999	1007.04	-1.0534488	3.2752678	8.485051	41.4375	-12.8125	-24.4375	0.1001819	-0.04642576	-0.07941248	421.0
19:28:46	-9999	-9999	1007.04	2.873042	-1.6089035	10.572795	39.875	-16.5	-25.375	-1.2241739	-2.6096163	1.8069394	379.0
19:28:47	-9999	-9999	1007.04	-2.719813	-0.47884035	9.5385	29.5	-28.6875	-24.875	-0.007330383	-0.019547688	0.09040806	379.0
19:28:48	-9999	-9999	1007.13	-6.14831	0.7086837	9.32781	29.875	-29.125	-22.5625	-0.28588495	0.034208454	-0.75869465	379.0
19:28:49	-9999	-9999	1007.1	-3.1986535	-2.1452048	7.7189064	29.875	-15.125	-29.0	0.5180137	0.46914452	-0.24556783	379.0
19:28:50	-9999	-9999	1007.13	-1.283292	-0.93852705	7.8912888	30.0625	-17.5	-29.375	0.37140608	-0.54611355	0.5558874	436.0
19:28:51	-9999	-9999	1007.1	-1.0534488	-1.9919758	9.615114	22.0625	-16.3125	-33.9375	0.48991394	-0.54244834	-0.029321533	351.0
19:28:52	-9999	-9999	1007.07	-2.3558946	-0.7469909	7.1826053	32.5	-19.9375	-23.9375	0.037873644	-0.58032197	-0.45448375	407.0
19:28:53	-9999	-9999	1007.1	-5.995081	-0.842759	7.469909	40.6875	-13.6875	-13.375	0.052534413	0.19914207	0.07574729	365.0
19:28:54	-9999	-9999	1007.04	-7.393295	-0.076614454	7.1059904	41.875	-13.625	-11.1875	0.19914207	0.39095375	0.043982297	337.0
19:28:55	-9999	-9999	1007.04	-5.363012	-0.78529817	7.833828	41.0625	-14.125	-11.125	-0.05497787	-0.12583824	0.06352998	337.0
19:28:56	-9999	-9999	1007.07	-5.66947	-0.90021986	7.776367	41.0	-13.1875	-10.5625	0.028099801	0.09040806	-0.012217305	337.0
19:28:57	-9999	-9999	1007.04	-5.4779334	-0.7278373	8.025364	40.5625	-14.25	-11.5625	-0.0061086523	0.05497787	-0.04520403	337.0
19:28:58	-9999	-9999	1007.19	-5.7843914	-0.6895301	7.642292	40.1875	-15.25	-10.1875	-0.013439035	-0.1600467	0.02687807	337.0
19:28:59	-9999	-9999	1007.13	-5.7843914	-0.49799395	7.7189064	39.4375	-16.875	-11.9375	-0.013439035	0.02443461	-0.009773844	337.0
19:29:00	-9999	-9999	1007.13	-5.8226986	-0.51714754	7.9104424	39.5	-16.75	-12.0	0.07941248	0.008552114	0.009773844	337.0
19:29:01	-9999	-9999	1007.1	-5.7269306	-0.6895301	7.73806	39.6875	-15.9375	-11.9375	-0.004886922	0.0061086523	0.0036651916	337.0
19:29:02	-9999	-9999	1007.1	-5.2480903	0.24899697	8.2169	40.125	-17.5	-12.9375	0.039095376	-0.014660766	0.002443461	337.0
19:29:03	-9999	-9999	1007.00995	-3.2752678	0.24899697	8.619126	35.1875	-21.0625	-20.5625	-0.036651913	0.065973446	-0.0036651916	393.0
19:29:04	-9999	-9999	1007.13	-2.681506	0.36391866	9.500193	35.3125	-21.75	-20.9375	-0.028099801	-0.032986723	0.036651913	393.0
19:29:05	-9999	-9999	1007.13	-2.7389667	0.6703765	9.423578	34.875	-22.4375	-22.375	0.04642576	0.07086037	-0.02321288	393.0
19:29:06	-9999	-9999	1007.13	-4.405331	2.0685902	8.561666	37.25	-25.9375	-13.125	-0.036651913	-0.057421334	0.021991149	365.0
19:29:07	-9999	-9999	1007.1	-3.2752678	1.0726024	9.32781	35.3125	-22.75	-20.125	0.12217305	-0.05131268	0.04153884	379.0
19:29:08	-9999	-9999	1007.25	-3.6008794	2.27928	9.634268	34.75	-23.4375	-22.75	0.1600467	0.32620203	0.35063666	379.0
19:29:09	-9999	-9999	1007.22	-2.27928	1.0342951	9.346964	37.625	-23.625	-20.9375	-0.14905111	-0.267559	-0.02687807	379.0
19:29:10	-9999	-9999	1007.1	-2.7389667	1.2449849	9.308656	38.8125	-25.0625	-18.9375	0.04153884	0.047647487	-0.007330383	379.0
19:29:11	-9999	-9999	1007.19	-3.4859576	1.1875241	9.040505	42.25	-22.6875	-15.625	0.029321533	0.021991149	-0.0012217305	365.0
19:29:12	-9999	-9999	1007.19	-3.4859576	1.283292	9.097966	42.0	-21.625	-15.625	0.052534413	0.05497787	-0.02565634	365.0
19:29:13	-9999	-9999	1007.19	-4.0414124	1.3790601	8.868123	43.0625	-21.0	-14.9375	0.0012217305	0.03176499	-0.004886922	365.0
19:29:14	-9999	-9999	1007.22	-4.2521024	1.436521	8.63828	42.75	-21.125	-14.1875	0.02321288	0.03176499	-0.007330383	365.0
19:29:15	-9999	-9999	1007.13	-3.9264908	1.3215994	8.868123	42.5625	-21.125	-14.5	0.019547688	0.035430185	-0.010995574	365.0
19:29:16	-9999	-9999	1007.25	-3.9073372	1.4556746	8.676587	41.4375	-20.25	-15.0	0.018325957	0.02687807	-0.008552114	365.0
19:29:17	-9999	-9999	1007.25	-3.6008794	1.2641385	9.059659	40.625	-21.375	-14.5	0.002443461	0.009773844	0.0	365.0
19:29:18	-9999	-9999	1007.25	-3.964798	1.3215994	8.829816	41.25	-19.8125	-13.5	0.02321288	0.007330383	0.0	365.0
19:29:19	-9999	-9999	1007.17	-3.964798	1.4556746	8.829816	40.6875	-20.75	-14.25	-0.004886922	-0.0061086523	0.0036651916	365.0
19:29:20	-9999	-9999	1007.23	-3.9264908	1.3599066	8.734048	41.25	-20.875	-15.125	0.002443461	0.021991149	-0.013439035	365.0
19:29:21	-9999	-9999	1007.23	-3.9839516	1.3790601	8.810662	40.6875	-20.1875	-13.6875	-0.009773844	0.019547688	-0.002443461	365.0
19:29:22	-9999	-9999	1007.25995	-4.175488	1.2641385	8.772355	41.0625	-20.8125	-13.9375	0.002443461	0.0061086523	-0.007330383	365.0
19:29:23	-9999	-9999	1007.25995	-4.0414124	1.1683705	8.925584	41.1875	-19.5625	-15.125	-0.017104227	-0.0012217305	0.012217305	365.0
19:29:24	-9999	-9999	1007.25995	-4.0414124	1.2641385	8.772355	41.1875	-19.0625	-15.125	0.004886922	-0.021991149	0.013439035	393.0
19:29:25	-9999	-9999	1007.25995	-4.1371803	1.4939818	8.848969	41.0	-19.0625	-15.125	0.014660766	0.03176499	-0.017104227	393.0
19:29:26	-9999	-9999	1007.25995	-4.76925	1.5514427	8.734048	42.25	-18.9375	-15.25	0.042760566	0.10751228	-0.021991149	393.0
19:29:27	-9999	-9999	1007.25995	-4.0797195	1.3982137	8.810662	42.0	-19.8125	-13.25	-0.0012217305	-0.06841691	0.019547688	393.0
19:29:28	-9999	-9999	1007.25995	-3.371036	1.3982137	8.887277	41.5625	-19.1875	-13.5	0.012217305	-0.065973446	0.02076942	365.0
19:29:29	-9999	-9999	1007.23	-3.5817258	1.3982137	8.983045	41.25	-20.3125	-13.75	0.036651913	0.043982297	-0.007330383	365.0
19:29:30	-9999	-9999	1007.23	-3.8498764	1.2258313	8.944737	40.625	-19.0625	-12.5625	0.021991149	0.0036651916	-0.009773844	365.0
19:29:31	-9999	-9999	1007.29	-3.8115692	1.340753	8.90643	40.125	-19.125	-14.25	0.012217305	-0.009773844	-0.0012217305	365.0
19:29:32	-9999	-9999	1007.25995	-3.8881836	1.4173675	8.983045	39.9375	-18.8125	-13.4375	0.05009095	0.010995574	0.010995574	393.0
19:29:33	-9999	-9999	1007.25995	-3.715801	1.1492168	9.040505	38.9375	-18.75	-14.375	0.0	-0.013439035	-0.0061086523	393.0
19:29:34	-9999	-9999	1007.23	-3.6774938	1.1300632	9.002198	38.625	-19.5	-14.3125	0.007330383	0.073303826	-0.02443461	393.0
19:29:35	-9999	-9999	1007.19995	-3.8115692	1.0534488	8.829816	38.0625	-17.5	-14.5625	0.040317107	0.10873401	-0.040317107	393.0
19:29:36	-9999	-9999	1007.23	-4.003105	1.091756	8.868123	37.625	-18.375	-13.5	-0.004886922	-0.05009095	0.02321288	393.0
19:29:37	-9999	-9999	1007.17	-3.8115692	0.9959879	8.983045	37.875	-19.1875	-15.0	0.019547688	-0.015882496	0.017104227	393.0
19:29:38	-9999	-9999	1007.23	-3.8307228	0.9768343	8.90643	38.0	-18.625	-15.5625	-0.0036651916	0.02443461	-0.0061086523	393.0
19:29:39	-9999	-9999	1007.23	-3.7924154	1.1109096	9.021352	38.5	-18.5625	-15.125	0.008552114	-0.028099801	0.013439035	393.0
19:29:40	-9999	-9999	1007.23	-3.9839516	1.091756	8.868123	37.6875	-18.9375	-15.6875	0.032986723	-0.012217305	0.0061086523	393.0
19:29:41	-9999	-9999	1007.19995	-4.0414124	1.1109096	8.868123	38.0625	-19.0625	-15.375	0.028099801	0.02687807	-0.009773844	393.0
19:29:42	-9999	-9999	1007.17	-3.9839516	1.0342951	8.887277	37.4375	-18.75	-14.875	0.0	-0.010995574	0.002443461	393.0
19:29:43	-9999	-9999	1007.25995	-3.9264908	1.091756	8.983045	37.3125	-19.875	-15.1875	0.0061086523	0.0036651916	-0.002443461	393.0
19:29:44	-9999	-9999	1007.32	-3.9839516	1.1109096	8.90643	37.625	-19.0625	-15.5625	-0.0012217305	0.009773844	-0.008552114	393.0
19:29:45	-9999	-9999	1007.19995	-4.003105	1.1492168	8.90643	37.5625	-20.0625	-15.4375	-0.008552114	-0.021991149	0.010995574	393.0
19:29:46	-9999	-9999	1007.19995	-4.003105	1.2066777	8.944737	37.375	-20.25	-15.125	0.0061086523	0.0	-0.0061086523	393.0
19:29:47	-9999	-9999	1007.25995	-4.0222588	1.1109096	8.90643	37.4375	-20.125	-14.75	0.010995574	0.02687807	-0.007330383	393.0
19:29:48	-9999	-9999	1007.25995	-3.9839516	1.1683705	8.887277	37.375	-20.125	-15.4375	0.0012217305	-0.002443461	0.0036651916	393.0
19:29:49	-9999	-9999	1007.25995	-3.9839516	1.0726024	8.944737	36.6875	-19.9375	-15.4375	0.002443461	0.010995574	-0.0061086523	393.0
19:29:50	-9999	-9999	1007.25995	-4.0414124	1.1300632	8.868123	37.5	-19.8125	-14.875	0.007330383	0.014660766	-0.010995574	393.0
19:29:51	-9999	-9999	1007.25995	-3.964798	1.1300632	8.925584	37.6875	-19.5625	-15.5	0.007330383	-0.009773844	-0.0036651916	393.0
19:29:52	-9999	-9999	1007.25995	-3.9073372	1.0342951	8.90643	37.4375	-18.375	-15.0	0.002443461	0.012217305	-0.007330383	393.0
19:29:53	-9999	-9999	1007.23	-3.9264908	1.091756	8.90643	37.8125	-19.0	-15.0625	-0.010995574	-0.019547688	0.008552114	393.0
19:29:55	-9999	-9999	1007.19995	-3.9264908	1.1492168	8.925584	37.25	-20.4375	-16.0	-0.0061086523	-0.010995574	0.002443461	393.0
19:29:56	-9999	-9999	1007.25995	-4.003105	1.1109096	8.868123	37.9375	-19.0625	-15.5	0.004886922	0.0061086523	-0.012217305	393.0
19:29:57	-9999	-9999	1007.25995	-3.964798	1.1683705	8.829816	37.75	-18.6875	-15.625	0.0012217305	0.002443461	-0.002443461	393.0
19:29:58	-9999	-9999	1007.17	-4.0797195	1.091756	8.848969	37.6875	-19.125	-15.1875	0.021991149	0.010995574	-0.021991149	393.0
19:29:59	-9999	-9999	1007.25995	-3.9839516	1.1492168	8.925584	37.9375	-18.875	-15.25	0.013439035	0.004886922	0.0	393.0
19:30:00	-9999	-9999	1007.25995	-3.8881836	1.1300632	8.90643	36.8125	-20.3125	-14.9375	0.0	-0.007330383	-0.0012217305	393.0
19:30:01	-9999	-9999	1007.19995	-4.0414124	1.1300632	8.848969	37.0625	-21.125	-15.0	-0.0061086523	-0.0012217305	0.0012217305	393.0
19:30:02	-9999	-9999	1007.19995	-4.0414124	1.1109096	8.887277	37.75	-19.6875	-15.4375	-0.015882496	-0.015882496	0.008552114	393.0
19:30:03	-9999	-9999	1007.32	-3.9839516	1.1300632	8.944737	37.6875	-20.0	-15.5625	0.002443461	0.015882496	-0.009773844	393.0
19:30:04	-9999	-9999	1007.25995	-4.0414124	1.1300632	8.925584	37.9375	-20.0	-15.4375	0.007330383	0.010995574	-0.0012217305	393.0
19:30:05	-9999	-9999	1007.29	-4.003105	1.1492168	8.944737	37.25	-20.375	-15.125	0.013439035	0.029321533	-0.0061086523	393.0
19:30:06	-9999	-9999	1007.19995	-3.9456444	1.1300632	8.944737	37.0	-20.1875	-15.625	0.0036651916	0.013439035	-0.008552114	393.0
19:30:07	-9999	-9999	1007.25995	-3.9456444	1.0726024	8.848969	37.4375	-20.0625	-15.5	0.002443461	-0.007330383	0.0	393.0
19:30:08	-9999	-9999	1007.29	-3.964798	1.1492168	8.887277	37.0	-20.3125	-15.3125	0.002443461	0.008552114	-0.0061086523	393.0
19:30:09	-9999	-9999	1007.29	-3.9456444	1.1492168	8.887277	37.25	-20.4375	-15.5625	0.010995574	0.007330383	-0.004886922	393.0
19:30:10	-9999	-9999	1007.19995	-4.003105	1.1109096	8.887277	37.0625	-20.9375	-14.875	0.0	-0.009773844	-0.002443461	365.0
19:30:11	-9999	-9999	1007.17	-4.0222588	1.1875241	8.925584	37.0625	-19.875	-15.8125	0.0061086523	0.014660766	-0.0036651916	365.0
19:30:12	-9999	-9999	1007.25995	-4.0797195	1.1683705	8.829816	37.3125	-19.5	-15.0625	0.017104227	0.018325957	-0.007330383	365.0
19:30:13	-9999	-9999	1007.32	-3.964798	1.1300632	8.944737	37.75	-19.125	-15.375	0.0012217305	0.0012217305	-0.0061086523	365.0
19:30:14	-9999	-9999	1007.23	-4.0797195	1.1492168	8.90643	37.1875	-19.375	-15.3125	0.010995574	0.03176499	-0.010995574	365.0
19:30:15	-9999	-9999	1007.25995	-4.0414124	1.091756	8.887277	37.5625	-19.0625	-14.875	-0.004886922	-0.010995574	0.0036651916	365.0
19:30:16	-9999	-9999	1007.32	-3.9839516	1.0534488	8.887277	37.625	-19.125	-15.75	-0.007330383	0.012217305	-0.0061086523	365.0
19:30:17	-9999	-9999	1007.35	-3.964798	1.1300632	8.887277	37.3125	-18.8125	-15.0625	-0.0012217305	0.0061086523	-0.009773844	365.0
19:30:18	-9999	-9999	1007.25995	-3.964798	1.1109096	8.848969	37.4375	-18.6875	-14.875	-0.004886922	-0.018325957	0.0036651916	365.0
19:30:19	-9999	-9999	1007.32	-4.0222588	1.091756	8.868123	37.4375	-19.5625	-15.375	0.008552114	0.008552114	-0.002443461	365.0
19:30:20	-9999	-9999	1007.38	-3.9839516	1.1492168	8.90643	37.6875	-19.625	-15.0625	-0.002443461	0.004886922	-0.0012217305	365.0
19:30:21	-9999	-9999	1007.25995	-4.0414124	1.1300632	8.963891	37.625	-19.125	-15.5625	0.012217305	0.02443461	-0.0061086523	365.0
19:30:22	-9999	-9999	1007.25995	-3.9839516	1.1300632	8.868123	37.6875	-18.375	-15.875	0.013439035	0.029321533	-0.014660766	365.0
19:30:23	-9999	-9999	1007.25995	-4.0414124	1.0726024	8.848969	37.5	-18.875	-15.5	-0.004886922	-0.007330383	0.0061086523	365.0
19:30:24	-9999	-9999	1007.29	-3.964798	1.1109096	8.7532015	37.8125	-18.9375	-15.6875	0.012217305	0.007330383	-0.004886922	365.0
19:30:25	-9999	-9999	1007.23	-3.9456444	1.1300632	8.791509	38.125	-18.625	-16.4375	0.012217305	-0.0061086523	-0.0036651916	365.0
19:30:26	-9999	-9999	1007.29	-3.9839516	1.0342951	8.887277	37.875	-19.0	-15.8125	-0.007330383	-0.007330383	0.0012217305	365.0
19:30:27	-9999	-9999	1007.41	-4.0797195	1.2641385	8.829816	37.8125	-18.3125	-15.5	0.02565634	0.06963864	-0.015882496	365.0
19:30:28	-9999	-9999	1007.35	-4.0222588	1.1109096	8.868123	38.125	-19.1875	-15.25	0.019547688	0.012217305	-0.002443461	365.0
19:30:29	-9999	-9999	1007.35	-4.0222588	1.1300632	8.944737	37.9375	-19.0625	-15.4375	0.0	0.0012217305	-0.007330383	365.0
19:30:30	-9999	-9999	1007.35	-4.060566	1.1492168	8.848969	38.375	-18.0	-15.8125	0.013439035	0.035430185	-0.014660766	365.0
19:30:31	-9999	-9999	1007.32	-3.9839516	1.1300632	8.925584	37.9375	-18.3125	-15.4375	0.013439035	0.0	-0.0061086523	365.0
19:30:32	-9999	-9999	1007.32	-3.9456444	1.2066777	8.887277	37.625	-19.125	-15.8125	0.012217305	0.004886922	-0.0036651916	365.0
19:30:33	-9999	-9999	1007.38	-3.9839516	1.1683705	8.810662	38.0625	-19.3125	-15.125	-0.004886922	-0.0036651916	0.002443461	365.0
19:30:34	-9999	-9999	1007.35	-3.9073372	1.1109096	8.772355	37.375	-19.8125	-15.9375	0.0036651916	-0.002443461	-0.004886922	365.0
19:30:35	-9999	-9999	1007.35	-4.003105	1.1300632	8.963891	38.25	-21.1875	-15.5625	-0.007330383	0.0012217305	0.0	365.0
19:30:36	-9999	-9999	1007.32	-3.964798	1.1300632	8.944737	36.625	-14.9375	-16.0	0.007330383	0.018325957	-0.004886922	365.0
19:30:37	-9999	-9999	1007.25995	-3.9073372	1.1492168	8.90643	38.0625	-19.75	-15.0625	-0.002443461	0.0036651916	-0.009773844	393.0
19:30:38	-9999	-9999	1007.41	-3.8881836	1.1875241	8.848969	37.5625	-19.875	-15.4375	0.013439035	0.007330383	-0.0012217305	393.0
19:30:39	-9999	-9999	1007.25995	-3.964798	1.1300632	8.829816	37.3125	-20.0625	-15.125	0.009773844	0.015882496	-0.007330383	393.0
