Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354389896,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.836548,-0.0036651916,-0.062308256,0.030543262,-9999,-9999,-9999,-9999
1473354390020,-9999,-9999,1003.23,-0.842759,9.174581,3.4093432,-9999,-9999,-9999,-2.375,69.25,-2.4375,5.812439,0.002443461,0.0842994,-0.05131268,556.0,-9999,-9999,-9999
1473354390219,-9999,-9999,1003.35,-0.7278373,9.232041,3.5434184,-9999,-9999,-9999,-2.4375,69.0625,-2.6875,5.805481,-0.002443461,-0.010995574,0.0012217305,556.0,-9999,-9999,-9999
1473354390323,-9999,-9999,1003.19995,-0.59376204,9.251195,3.6774938,-9999,-9999,-9999,-2.4375,68.75,-3.3125,5.9613953,-0.0036651916,-0.02687807,0.008552114,556.0,-9999,-9999,-9999
1473354390430,-9999,-9999,1003.23,-0.7278373,9.232041,3.6391866,-9999,-9999,-9999,-2.4375,68.375,-2.875,6.008209,0.0,0.02076942,-0.017104227,556.0,-9999,-9999,-9999
1473354390532,-9999,-9999,1003.11,-0.6512229,9.212888,3.6966474,0.012320101,0.12491226,0.08559561,-2.0625,68.625,-2.4375,5.9273376,-0.002443461,-0.018325957,0.002443461,556.0,-9999,-9999,-9999
1473354390633,-9999,-9999,1003.17,-0.7469909,9.212888,3.6391866,-0.06519759,0.10588646,0.06594014,-2.125,68.875,-2.5625,5.7471313,0.0036651916,0.007330383,-0.008552114,556.0,-9999,-9999,-9999
1473354390735,-9999,-9999,1003.17,-0.6703765,9.232041,3.5817258,0.016250014,0.12495899,0.009613514,-2.4375,68.8125,-2.75,5.7690125,0.0012217305,-0.008552114,0.0,556.0,-9999,-9999,-9999
1473354390837,-9999,-9999,1003.19995,-0.6703765,9.212888,3.6774938,0.018496156,0.105335236,0.10701299,-2.125,69.0,-2.8125,5.719879,0.002443461,0.0036651916,-0.007330383,556.0,-9999,-9999,-9999
1473354390938,-9999,-9999,1003.17,-0.6703765,9.232041,3.6583402,0.021517873,0.123723984,0.090397835,-2.1875,68.9375,-3.0,5.7203064,0.002443461,-0.002443461,-0.007330383,556.0,-9999,-9999,-9999
1473354391049,-9999,-9999,1003.11,-0.6895301,9.232041,3.620033,0.0045149922,0.1227293,0.055045605,-2.0625,68.6875,-2.5,5.707489,0.002443461,0.007330383,-0.0061086523,556.0,-9999,-9999,-9999
1473354391154,-9999,-9999,1003.07996,-0.6895301,9.193734,3.620033,0.0051852465,0.08413601,0.05590582,-1.8125,68.625,-2.4375,5.5938416,0.0,-0.0036651916,0.0,556.0,-9999,-9999,-9999
