Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908000657,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.294373,-9999,-29.966606,-4.5766025,4.0292673,-9999,-9999,-9999,-9999
1473908000775,-9999,-9999,1005.24,-0.21068975,8.580819,4.9416323,-9999,-9999,-9999,-7.625,62.625,-3.3125,13.23465,-9999,1.1850786,0.35918877,-0.05131268,0.0,-9999,-9999,-9999
1473908000958,-9999,-9999,1005.32996,-0.038307227,8.504205,4.9799395,-9999,-9999,-9999,-7.875,62.4375,-3.375,13.176697,-9999,-0.018325957,-0.036651913,0.018325957,0.0,-9999,-9999,-9999
1473908001066,-9999,-9999,1005.32996,-0.095768064,8.619126,4.9799395,-9999,-9999,-9999,-8.5,62.8125,-4.0,13.243591,-9999,-0.007330383,0.0,-0.007330383,0.0,-9999,-9999,-9999
1473908001169,-9999,-9999,1005.26996,-0.15322891,8.504205,4.9799395,-9999,-9999,-9999,-8.0,63.5625,-4.0,13.3072815,-9999,0.007330383,-0.002443461,0.0036651916,0.0,-9999,-9999,-9999
1473908001270,-9999,-9999,1005.26996,-0.17238252,8.734048,4.8841715,-0.045049533,0.22651386,0.008102417,-7.5625,63.0625,-4.5625,13.167419,-9999,0.002443461,0.008552114,-0.0036651916,0.0,-9999,-9999,-9999
1473908001372,-9999,-9999,1005.3,-0.1340753,8.561666,4.865018,-0.007089019,0.05466938,-0.011998653,-7.75,62.8125,-4.0625,13.126251,-9999,0.002443461,0.0,0.0012217305,0.0,-9999,-9999,-9999
1473908001474,-9999,-9999,1005.32996,-0.11492168,8.695741,4.960786,0.011729531,0.18837357,0.08440733,-7.5625,62.9375,-3.875,13.068787,-9999,0.002443461,0.014660766,0.0,0.0,-9999,-9999,-9999
1473908001575,-9999,-9999,1005.20996,-0.1340753,8.63828,4.9224787,-0.0056951493,0.1312027,0.0456419,-7.8125,62.6875,-3.6875,13.042175,-9999,-0.0036651916,-0.010995574,0.008552114,0.0,-9999,-9999,-9999
1473908001676,-9999,-9999,1005.26996,-0.15322891,8.734048,4.9224787,-0.027743608,0.22704601,0.04543352,-7.875,62.9375,-3.8125,13.010193,-9999,0.007330383,0.007330383,-0.008552114,0.0,-9999,-9999,-9999
1473908001786,-9999,-9999,1005.24,-0.1340753,8.542512,4.8267107,-0.00815627,0.036068916,-0.051297188,-8.0625,62.8125,-3.8125,13.043213,-9999,0.014660766,0.007330383,-0.007330383,0.0,-9999,-9999,-9999
1473908001887,-9999,-9999,1005.24,-0.15322891,8.599973,4.807557,-0.064557806,0.22690773,0.06486654,-7.625,63.0625,-3.9375,13.052734,-9999,0.0,0.004886922,-0.012217305,0.0,-9999,-9999,-9999
1473908001989,-9999,-9999,1005.26996,-0.15322891,8.599973,4.8267107,-0.026148215,0.18793106,-0.048882484,-8.1875,62.9375,-3.8125,13.084625,-9999,-0.009773844,0.007330383,-0.0012217305,0.0,-9999,-9999,-9999
1473908002090,-9999,-9999,1005.3,-0.21068975,8.599973,4.8841715,-0.067442715,0.17032337,0.10157204,-8.3125,62.75,-3.8125,13.228973,-9999,0.013439035,0.018325957,-0.009773844,0.0,-9999,-9999,-9999
1473908002194,-9999,-9999,1005.37,-0.076614454,8.542512,5.0374002,0.044980936,0.035862923,0.15964031,-7.875,62.6875,-3.9375,13.240753,-9999,-0.013439035,-0.02443461,0.014660766,0.0,-9999,-9999,-9999
1473908002298,-9999,-9999,1005.26996,-0.17238252,8.6574335,4.8458643,-0.012810238,0.16969395,0.19836473,-7.9375,62.6875,-4.0,13.223114,-9999,0.008552114,0.0012217305,-0.0036651916,0.0,-9999,-9999,-9999
1473908002400,-9999,-9999,1005.33997,-0.34476504,9.021352,5.765238,-0.22007096,0.51422405,0.888392,-8.25,62.75,-3.6875,13.268921,-9999,0.0,-0.007330383,0.012217305,0.0,-9999,-9999,-9999
1473908002502,-9999,-9999,1005.37,-0.038307227,8.580819,4.9799395,0.084800534,0.07504368,0.10069561,-8.625,64.125,-3.0,13.390015,-9999,-0.014660766,-0.013439035,0.010995574,0.0,-9999,-9999,-9999
1473908002604,-9999,-9999,1005.31,-0.095768064,8.63828,4.9224787,0.026062883,0.13271141,0.042842865,-9.1875,64.0625,-1.8125,13.607208,-9999,-0.014660766,-0.019547688,0.014660766,0.0,-9999,-9999,-9999
1473908002735,-9999,-9999,1005.27997,0.0,8.791509,5.1140146,0.117073305,0.2844286,0.23689461,-9.4375,63.5625,-1.875,13.959564,-9999,0.008552114,-0.004886922,-0.004886922,0.0,-9999,-9999,-9999
