Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,DegreesAvg,Turn,TurnAbs,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1477086283270,-9999,-9999,-9999,-0.65675354,0.8774872,9.550476,-9999,-9999,-9999,-9999,-9999,-9999,171.32764,171.32764,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1477086283379,-9999,-9999,987.62885,-0.6723175,0.7829132,9.76236,-0.04185921,-0.016767621,0.15778065,-2.2697449,-12.143517,2.305603,171.18811,171.257875,-9999,-9999,-0.006134033,-0.0907135,0.019195557,706.0,-9999,-9999,-9999
1477086283485,-9999,-9999,987.6015,-0.5202942,0.9241638,9.850952,0.060860097,0.06649864,0.1586256,-2.1821976,-11.968994,1.8835068,170.75159,171.08911333333333,-9999,-9999,-0.0098724365,-0.022003174,-0.0037078857,721.0,-9999,-9999,-9999
1477086283588,-9999,-9999,987.62726,-0.56578064,0.94810486,9.782715,0.030344188,0.08959353,0.08675575,-2.531433,-11.794281,2.0523071,170.51276,170.945025,-9999,-9999,-0.013061523,-7.019043E-4,0.0032043457,721.0,-9999,-9999,-9999
1477086283689,-9999,-9999,987.6008,-0.55740356,0.9181824,9.715668,0.061055243,0.056022108,-0.05132866,-2.2695541,-11.794662,2.305603,170.07086,170.770192,-9999,-9999,-0.006668091,0.0035705566,1.5258789E-5,721.0,-9999,-9999,-9999
1477086283790,-9999,-9999,987.62665,-0.68548584,0.8894501,9.692932,-0.053869486,0.030763328,-0.035053253,-2.4440765,-12.754631,1.7993927,170.07599,170.65449166666667,-9999,-9999,0.0018463135,0.010482788,-0.0021209717,721.0,-9999,-9999,-9999
1477086283892,-9999,-9999,987.6786,-0.6244354,0.9217682,9.718063,-0.022064209,0.06101525,0.01243782,-2.1821976,-13.016701,2.4742126,170.2533,170.5971785714286,-9999,-9999,-0.014129639,-0.010818481,0.0048065186,721.0,-9999,-9999,-9999
1477086284005,-9999,-9999,987.5997,-0.6076813,0.82481384,9.678558,-0.028288782,-0.035532296,-0.11186695,-2.7935028,-12.580299,1.883316,169.75989,170.49251750000002,-9999,-9999,-0.0050811768,0.006225586,0.010665894,721.0,-9999,-9999,-9999
1477086284106,-9999,-9999,987.5996,-0.5502167,0.78770447,9.786301,0.041968763,-0.07782948,0.07334995,-2.3569107,-11.794281,2.3052216,169.46918,170.37881333333337,-9999,-9999,0.0018463135,0.010482788,0.002670288,721.0,-9999,-9999,-9999
1477086284208,-9999,-9999,987.6255,-0.62324524,0.85354614,9.727646,-0.026981711,0.0051288605,0.015011787,-2.4442673,-11.79409,1.7150879,169.34113,170.27504500000003,-9999,-9999,0.015701294,0.0099487305,0.0064086914,721.0,-9999,-9999,-9999
1477086284312,-9999,-9999,987.57245,-0.64479065,0.881073,9.715668,-0.044596374,-0.02744621,-0.05299568,-2.2697449,-12.056351,2.7273178,169.21869,170.17901272727275,-9999,-9999,0.009841919,3.6621094E-4,-0.006378174,721.0,-9999,-9999,-9999
1477086284413,-9999,-9999,987.6243,-0.6004944,0.8487549,9.641449,-3.760457E-4,-0.02061671,-0.07073307,-1.832962,-12.842178,2.220726,169.70941,170.13987916666667,-9999,-9999,0.010375977,3.6621094E-4,0.0048065186,721.0,-9999,-9999,-9999
1477086284514,-9999,-9999,987.62427,-0.59809875,0.91459656,9.607941,0.00412488,0.04085654,-0.10304737,-1.5712738,-11.619568,2.3054123,170.29028,170.15144846153848,-9999,-9999,-0.0050811768,-0.0065612793,-0.0053100586,713.0,-9999,-9999,-9999
1477086284615,-9999,-9999,987.6236,-0.5023346,0.8822632,9.740814,0.063215196,0.020766854,-0.01132679,-2.9680252,-11.532211,2.474022,170.34198,170.1650578571429,-9999,-9999,-0.004547119,0.009429932,0.017593384,713.0,-9999,-9999,-9999
1477086284717,-9999,-9999,987.62354,-0.5346527,0.87509155,9.695328,0.02365166,0.019235551,-0.03187275,-2.7936935,-11.794281,2.5587082,169.66895,170.13198400000002,-9999,-9999,0.013031006,0.0035705566,-0.004776001,713.0,-9999,-9999,-9999
1477086284822,-9999,-9999,987.62335,-0.6016846,0.8092499,9.66539,-0.031513453,-0.046223342,-0.043848038,-2.0952225,-12.05616,2.5583267,169.85199,170.11448437500002,-9999,-9999,-2.746582E-4,0.0014343262,0.013336182,713.0,-9999,-9999,-9999
1477086284924,-9999,-9999,987.649,-0.55500793,0.84994507,9.745605,0.02281034,0.009525299,0.101893425,-2.0076752,-12.492943,1.9678116,169.87408,170.10034294117648,-9999,-9999,-0.016784668,-0.0012359619,0.008010864,713.0,-9999,-9999,-9999
1477086285030,-9999,-9999,987.59625,-0.6040802,0.82481384,9.727646,0.033764303,-0.022723079,0.0033025742,-2.2697449,-12.143707,1.799202,170.24207,170.10821666666666,-9999,-9999,-0.029037476,0.024871826,-0.007446289,713.0,-9999,-9999,-9999
1477086285133,-9999,-9999,987.5958,-0.72618103,0.9433136,9.607941,-0.049907684,0.12347299,-0.14084625,-2.0950317,-11.881638,2.0523071,170.20209,170.11315736842104,-9999,-9999,-0.029037476,0.019012451,-0.014373779,713.0,-9999,-9999,-9999
1477086285252,-9999,-9999,987.6218,-0.70584106,0.75897217,9.648636,-0.05608058,-0.06815565,-0.1237421,-2.5318146,-12.667656,2.0523071,170.45544,170.1302715,-9999,-9999,0.05618286,0.032852173,0.033569336,703.0,-9999,-9999,-9999
1477086285358,-9999,-9999,987.64795,-0.61605835,0.826004,9.586395,0.011473119,-0.006041825,-0.12800121,-2.2695541,-12.492943,2.3899078,170.09424,170.1285557142857,-9999,-9999,0.0135650635,-0.020401001,0.030899048,703.0,-9999,-9999,-9999
1477086285460,-9999,-9999,987.6215,-0.56578064,0.8331909,9.648636,0.049803257,0.017643213,-0.06881809,-2.5316238,-12.230873,2.3899078,170.21997,170.13271090909092,-9999,-9999,-0.019989014,0.023269653,0.02557373,713.0,-9999,-9999,-9999
1477086285562,-9999,-9999,987.6472,-0.48677063,0.8307953,9.866516,0.09312558,-0.01704228,0.20780277,-2.7935028,-12.492752,2.5585175,170.01428,170.12756173913044,-9999,-9999,0.010375977,-0.0065612793,0.042617798,713.0,-9999,-9999,-9999
1477086285666,-9999,-9999,987.5946,-0.59809875,0.7805176,9.80545,-0.018164098,-0.016714752,0.07774925,-2.1823883,-12.31823,2.0524979,170.03479,170.12369625,-9999,-9999,-0.021591187,-0.03744507,0.016525269,713.0,-9999,-9999,-9999
1477086285767,-9999,-9999,987.62036,-0.5358429,0.8427582,9.707291,0.04361999,0.02911216,-0.010320663,-2.880478,-12.231064,2.2209167,169.7456,170.1085724,-9999,-9999,-0.049819946,0.046707153,0.04156494,722.0,-9999,-9999,-9999
1477086285870,-9999,-9999,987.594,-0.484375,0.81044006,9.673782,0.11663884,0.04650998,-0.044855118,-2.706337,-12.31823,2.6428223,169.1853,170.07306192307695,-9999,-9999,-0.045547485,0.0019683838,-0.0037078857,722.0,-9999,-9999,-9999
1477086285974,-9999,-9999,987.5935,-0.55500793,0.7972717,9.537308,0.038648188,0.06661546,-0.18963528,-2.1821976,-11.881638,1.799202,169.11157,170.03745111111112,-9999,-9999,-0.021591187,0.013153076,-0.026611328,722.0,-9999,-9999,-9999
1477086286080,-9999,-9999,987.646,-0.62683105,0.58657837,9.674973,-0.007249236,-0.13541031,-0.02671051,-3.055191,-11.968994,2.2209167,168.89636,169.99669785714286,-9999,-9999,-0.001876831,-0.023071289,-0.0053100586,730.0,-9999,-9999,-9999
1477086286182,-9999,-9999,987.5669,-0.6148529,0.70869446,9.64505,0.0030068755,-0.009119332,-0.08915424,-2.7061462,-11.532211,1.799202,168.20569,169.93493896551723,-9999,-9999,0.002380371,0.071746826,0.0021514893,730.0,-9999,-9999,-9999
1477086286286,-9999,-9999,987.6455,-0.7118225,0.5626373,9.586395,-0.055691183,-0.12653393,-0.08809757,-2.8808594,-11.968994,3.0647278,168.078,169.873041,-9999,-9999,-0.06686401,0.109558105,-0.007446289,730.0,-9999,-9999,-9999
1477086286393,-9999,-9999,987.6189,-0.7776642,0.12928772,9.836578,-0.064205825,-0.39938664,0.04692459,-2.880478,-12.231064,1.7148972,167.66632,169.80185645161293,-9999,-9999,-0.07058716,-0.008682251,0.014389038,730.0,-9999,-9999,-9999
1477086286498,-9999,-9999,987.6188,-0.78245544,0.7577667,10.062836,0.0011911988,0.22833759,0.27867317,-2.5316238,-11.707115,1.7990112,167.74994,169.7377340625,-9999,-9999,-0.033309937,-0.015609741,-0.029281616,735.0,-9999,-9999,-9999
1477086286599,-9999,-9999,987.61847,-0.85188293,0.4010315,9.801865,-0.09121382,-0.07042748,0.11780357,-2.1823883,-12.754631,1.5462875,168.20984,169.69143424242426,-9999,-9999,-0.01838684,9.0026855E-4,0.027709961,735.0,-9999,-9999,-9999
1477086286702,-9999,-9999,987.59216,-0.55500793,0.64045715,9.674973,0.05982405,0.03275937,-0.05784893,-2.3571014,-11.968803,2.727127,168.85876,169.66694382352944,-9999,-9999,0.031143188,-0.08911133,0.0074768066,735.0,-9999,-9999,-9999
1477086286809,-9999,-9999,987.61804,-0.5825348,0.49679565,9.764755,-0.020317852,-0.08041942,-0.050471306,-3.0553818,-11.794472,2.2211075,168.26477,169.62688171428573,-9999,-9999,0.017822266,-0.07846069,0.03250122,746.0,-9999,-9999,-9999
1477086286917,-9999,-9999,987.6179,-0.39698792,0.6201019,9.854538,0.11018211,0.054074585,0.11007404,-2.1821976,-12.231064,2.7273178,168.37024,169.59197500000002,-9999,-9999,0.002380371,0.05682373,-0.018630981,757.0,-9999,-9999,-9999
1477086287019,-9999,-9999,987.69666,-0.64598083,0.5351105,9.821014,-0.106650054,-0.058834434,0.11163235,-1.9203186,-12.143707,3.2335281,168.7544,169.56933783783785,-9999,-9999,-8.087158E-4,0.03338623,-0.025024414,757.0,-9999,-9999,-9999
1477086287122,-9999,-9999,987.6702,-0.6806946,0.48124695,9.668991,-0.15087175,-0.034100592,0.016508102,-2.4440765,-12.4053955,2.727127,168.96875,169.55353289473686,-9999,-9999,-0.003479004,-0.027328491,-0.021820068,748.0,-9999,-9999,-9999
1477086287224,-9999,-9999,987.6437,-0.6435852,0.4620819,9.600754,-0.06673396,-0.14079553,-0.141119,-1.5710831,-12.841988,2.5585175,170.06201,169.56657076923076,-9999,-9999,0.005050659,-0.06567383,0.005340576,748.0,-9999,-9999,-9999
1477086287330,-9999,-9999,987.64355,-0.21383667,0.6488342,9.647446,0.31179285,0.02884382,-0.15282822,-2.182579,-12.31842,3.2333374,170.52545,169.59054275,-9999,-9999,0.005584717,0.09358215,0.009597778,748.0,-9999,-9999,-9999
1477086287434,-9999,-9999,987.61725,-0.55740356,0.5746155,9.914398,-0.011828601,-0.07031244,0.09662914,-2.4440765,-12.318039,3.1490326,170.50427,169.61282878048783,-9999,-9999,0.007171631,0.022201538,-0.039398193,740.0,-9999,-9999,-9999
1477086287535,-9999,-9999,987.61743,-0.7273865,0.533905,9.80426,-0.18307573,-0.0717777,0.053295135,-2.6187897,-12.7550125,2.8959274,170.19165,169.62661023809525,-9999,-9999,7.7819824E-4,-0.106155396,0.02078247,740.0,-9999,-9999,-9999
1477086287638,-9999,-9999,987.6172,-0.38980103,0.3495636,9.629486,0.08822125,-0.35858834,-0.08644962,-2.706337,-12.405777,2.7273178,169.73352,169.62909651162792,-9999,-9999,0.009307861,-0.10722351,-0.013305664,740.0,-9999,-9999,-9999
1477086287741,-9999,-9999,987.6692,-0.4089508,0.63327026,9.979034,0.0032131374,0.07388741,0.2834196,-1.9205093,-12.405777,2.4742126,169.89362,169.63510840909092,-9999,-9999,-0.03010559,-0.14503479,0.012802124,740.0,-9999,-9999,-9999
1477086287848,-9999,-9999,987.61664,-0.3945923,0.6320801,9.910797,-0.028707355,-2.1994114E-4,0.164464,-1.9203186,-11.968803,2.5585175,170.1651,169.646886,-9999,-9999,0.0066375732,-0.021469116,-0.016494751,755.0,-9999,-9999,-9999
1477086287952,-9999,-9999,987.6163,0.022003174,0.5626373,10.001785,0.30516335,-0.036256373,0.24378586,-2.007866,-12.754822,3.0649185,170.04443,169.65552826086957,-9999,-9999,-0.022125244,-0.15356445,-0.0015869141,755.0,-9999,-9999,-9999
1477086288053,-9999,-9999,987.6952,-0.32037354,0.628479,9.601944,-0.04981786,0.029761255,-0.14424896,-2.0076752,-13.191032,1.8835068,170.53186,169.67417361702127,-9999,-9999,0.026351929,0.17506409,-0.011703491,755.0,-9999,-9999,-9999
1477086288155,-9999,-9999,987.58984,-0.24255371,0.40701294,9.630676,0.164226,-0.2448237,-0.04937935,-2.1823883,-12.405586,2.812004,170.56372,169.69270583333335,-9999,-9999,0.005050659,-0.05076599,-0.010101318,755.0,-9999,-9999,-9999
1477086288259,-9999,-9999,987.6422,-0.37902832,0.6715851,10.019745,-0.07670462,0.05405909,0.2977047,-1.9205093,-12.056541,2.8959274,171.16577,169.72276836734696,-9999,-9999,0.021560669,-0.023605347,-0.0010528564,755.0,-9999,-9999,-9999
1477086288360,-9999,-9999,987.61584,-0.059402466,0.5853882,9.828201,0.25366634,-0.055143297,0.07388306,-2.0952225,-12.580299,2.7273178,171.33026,169.75491820000002,-9999,-9999,-0.025848389,-0.030517578,0.03250122,755.0,-9999,-9999,-9999
1477086288469,-9999,-9999,987.58984,-0.34431458,0.7242584,9.866516,-0.067671776,0.0049684644,0.17378616,-1.9203186,-12.7550125,2.6428223,171.21838,169.752733,-9999,-9999,-0.0050811768,-0.037979126,0.005874634,771.0,-9999,-9999,-9999
1477086288571,-9999,-9999,987.64185,-0.2102356,0.588974,9.858124,0.07212961,-0.059044063,0.10544491,-1.8331528,-12.143517,2.4744034,171.65125,169.7619958,-9999,-9999,-0.0050811768,0.007827759,0.018127441,771.0,-9999,-9999,-9999
1477086288673,-9999,-9999,987.64197,-0.24494934,0.7122803,9.698914,-0.0484374,0.090115786,0.01599884,-2.3569107,-12.754822,2.5585175,171.21912,169.7713464,-9999,-9999,-0.015731812,-0.04437256,0.002670288,781.0,-9999,-9999,-9999
1477086288776,-9999,-9999,987.64166,-0.21263123,0.5782013,9.728836,0.003265366,-0.05333197,-0.047704697,-1.7456055,-12.492943,2.3054123,171.44116,169.78991440000001,-9999,-9999,0.009841919,-0.011352539,-0.0010528564,781.0,-9999,-9999,-9999
1477086288877,-9999,-9999,987.6415,-0.24855042,0.6201019,9.811447,-0.030782163,-0.008515835,0.08550358,-2.2699356,-12.405777,2.2211075,171.21277,169.8127526,-9999,-9999,0.010375977,0.007293701,0.0037384033,781.0,-9999,-9999,-9999
1477086288984,-9999,-9999,987.61536,-0.21144104,0.6739807,9.792297,0.05210066,0.030202568,0.037172318,-2.444458,-12.754631,2.8116226,171.24329,169.8360986,-9999,-9999,0.0077056885,0.0025024414,0.0021514893,781.0,-9999,-9999,-9999
1477086289089,-9999,-9999,987.6156,-0.30360413,0.6452484,9.763565,-0.022380829,0.034044564,-0.0034513474,-2.4440765,-12.929535,3.0647278,170.95221,169.85007679999998,-9999,-9999,-8.087158E-4,0.0035705566,-0.0042419434,781.0,-9999,-9999,-9999
1477086289190,-9999,-9999,987.5888,-0.32276917,0.61053467,9.756378,-0.053242534,-0.03545457,0.007414818,-2.6187897,-12.580109,1.9678116,170.5451,169.865781,-9999,-9999,-0.0098724365,-0.014007568,0.0048065186,781.0,-9999,-9999,-9999
1477086289294,-9999,-9999,987.6412,-0.35029602,0.6260834,9.714478,-0.090539664,-0.017814636,-0.034043312,-1.7459869,-12.667274,2.8116226,170.61768,169.888751,-9999,-9999,-0.007736206,-0.017211914,-0.0026550293,781.0,-9999,-9999,-9999
1477086289403,-9999,-9999,987.66724,-0.26649475,0.6356659,9.781509,0.007139951,-0.033997715,0.022080421,-2.094841,-12.405586,2.9806137,170.65723,169.915073,-9999,-9999,-0.007736206,-0.004425049,-0.0010528564,781.0,-9999,-9999,-9999
1477086289504,-9999,-9999,987.641,-0.2677002,0.60095215,9.852142,-0.024203598,-0.037980735,0.102627754,-2.182579,-13.104057,2.2211075,170.75623,169.94582380000003,-9999,-9999,-0.004547119,-0.008148193,-0.005844116,781.0,-9999,-9999,-9999
