Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473384871454,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,288.81165,-9999,0.030543262,-0.030543262,-0.047647487,-9999,-9999,-9999,-9999
1473384871581,-9999,-9999,997.89996,-0.17238252,0.40222588,9.5385,-9999,-9999,-9999,28.5625,10.125,2.3125,288.87494,-9999,0.05131268,0.03176499,-0.059864793,1.0,-9999,-9999,-9999
1473384871689,-9999,-9999,997.85,-0.038307227,0.38307226,9.595961,-9999,-9999,-9999,28.5,10.0625,1.6875,288.9178,-9999,-0.1160644,-0.010995574,0.02443461,1.0,-9999,-9999,-9999
1473384871806,-9999,-9999,997.85,-0.2681506,0.05746084,9.595961,-9999,-9999,-9999,28.1875,9.875,1.75,289.06085,-9999,0.07086037,0.05497787,-0.02443461,1.0,-9999,-9999,-9999
1473384871909,-9999,-9999,997.85,-0.038307227,0.4405331,9.710882,-9999,-9999,-9999,28.4375,9.5,2.1875,289.07413,-9999,-0.0061086523,-0.039095376,0.04520403,1.0,-9999,-9999,-9999
1473384872010,-9999,-9999,997.82,-0.32561144,0.36391866,9.595961,-9999,-9999,-9999,28.9375,9.25,2.0625,288.83478,-9999,-0.0061086523,-0.12705997,-0.14782938,1.0,-9999,-9999,-9999
1473384872112,-9999,-9999,997.89996,-0.30645782,0.5554548,9.576807,-9999,-9999,-9999,28.75,9.5625,2.5,288.7173,-9999,-0.002443461,0.008552114,0.065973446,1.0,-9999,-9999,-9999
1473384872216,-9999,-9999,997.79,-0.34476504,0.32561144,9.615114,-9999,-9999,-9999,28.625,9.6875,2.4375,288.66843,-9999,0.028099801,-0.065973446,-0.028099801,1.0,-9999,-9999,-9999
1473384872321,-9999,-9999,997.85,-0.2681506,0.5363012,9.519346,-9999,-9999,-9999,29.25,9.875,2.5625,288.62265,-9999,0.0012217305,-0.012217305,0.004886922,1.0,-9999,-9999,-9999
1473384872427,-9999,-9999,997.79,-0.22984336,0.36391866,9.634268,-9999,-9999,-9999,29.25,9.875,2.1875,288.60492,-9999,-0.052534413,0.014660766,0.012217305,1.0,-9999,-9999,-9999
1473384872530,-9999,-9999,997.89996,-0.22984336,0.34476504,9.576807,-9999,-9999,-9999,29.625,9.375,2.0625,288.43402,-9999,-0.019547688,-0.032986723,-0.019547688,1.0,-9999,-9999,-9999
1473384872640,-9999,-9999,997.85,-0.34476504,0.40222588,9.615114,-9999,-9999,-9999,28.9375,9.4375,2.125,288.28546,-9999,0.004886922,0.02076942,0.034208454,1.0,-9999,-9999,-9999
1473384872751,-9999,-9999,997.85,-0.19153613,0.24899697,9.5385,-9999,-9999,-9999,28.8125,9.4375,2.3125,288.30432,-9999,-0.028099801,0.0061086523,-0.015882496,1.0,-9999,-9999,-9999
1473384872854,-9999,-9999,997.89996,-0.19153613,0.49799395,9.557653,0.046062335,0.031443864,-0.23501015,29.125,9.9375,2.375,288.36237,-9999,0.029321533,0.009773844,0.013439035,1.0,-9999,-9999,-9999
1473384872955,-9999,-9999,997.85,-0.19153613,0.34476504,9.461885,0.029224694,-0.12950566,-0.33080196,28.875,9.625,2.4375,288.36163,-9999,0.04520403,-0.021991149,0.008552114,1.0,-9999,-9999,-9999
1473384873060,-9999,-9999,997.79,-0.36391866,0.30645782,9.595961,-0.15314145,-0.19094387,-0.19579887,28.8125,9.375,2.1875,288.26425,-9999,-0.010995574,-0.017104227,-0.007330383,1.0,-9999,-9999,-9999
1473384873165,-9999,-9999,997.88,-0.21068975,0.32561144,9.576807,0.037044406,-0.17867345,-0.21516895,28.5,9.8125,2.1875,288.2359,-9999,-0.015882496,0.018325957,0.017104227,1.0,-9999,-9999,-9999
1473384873276,-9999,-9999,997.85,-0.19153613,0.49799395,9.461885,0.048055068,-0.048394233,-0.329113,28.6875,9.5625,1.8125,288.27698,-9999,0.047647487,-0.040317107,-0.0036651916,1.0,-9999,-9999,-9999
1473384873380,-9999,-9999,997.85,-0.30645782,0.24899697,9.691729,-0.08372101,-0.23626143,-0.10037613,28.6875,8.8125,1.5625,288.1181,-9999,-0.087964594,0.058643065,0.037873644,1.0,-9999,-9999,-9999
1473384873487,-9999,-9999,997.85,-0.22984336,0.22984336,9.519346,0.065066606,-0.19309446,-0.08191681,28.8125,9.5,1.8125,288.1057,-9999,0.065973446,-0.0061086523,-0.004886922,1.0,-9999,-9999,-9999
1473384873588,-9999,-9999,997.79,-0.21068975,0.49799395,9.32781,0.07016364,-0.007850707,-0.46175766,29.0,8.9375,2.25,288.0792,-9999,-0.029321533,-0.014660766,-0.009773844,1.0,-9999,-9999,-9999
1473384873689,-9999,-9999,997.85,-0.22984336,0.11492168,9.672575,0.021516621,-0.36985746,-0.10132408,29.0,9.125,2.125,288.0299,-9999,-0.057421334,0.032986723,0.02443461,1.0,-9999,-9999,-9999
1473384873800,-9999,-9999,997.85,-0.21068975,0.30645782,9.557653,0.030025005,-0.07243875,-0.17784882,28.5,9.1875,2.375,288.0622,-9999,0.080634214,-0.112399206,-0.014660766,1.0,-9999,-9999,-9999
1473384873901,-9999,-9999,997.79,-0.21068975,0.4405331,9.404425,0.012641162,-0.040025145,-0.32998085,28.4375,9.1875,2.5625,288.05365,-9999,-0.0012217305,0.019547688,0.009773844,1.0,-9999,-9999,-9999
1473384874002,-9999,-9999,997.79,-0.22984336,0.11492168,9.557653,0.060926616,-0.26850015,-0.21667385,28.4375,9.25,2.1875,288.05478,-9999,-0.04153884,0.012217305,0.004886922,1.0,-9999,-9999,-9999
1473384874103,-9999,-9999,997.82,-0.22984336,0.2873042,9.595961,-0.0056084692,-0.118204325,-0.2171259,29.0,9.8125,2.0,288.09344,-9999,0.061086524,0.030543262,0.018325957,1.0,-9999,-9999,-9999
1473384874210,-9999,-9999,997.79,-0.30645782,0.4405331,9.481039,-0.037116975,-0.06753981,-0.38683414,28.8125,10.1875,2.6875,288.241,-9999,0.06352998,-0.05131268,-0.0012217305,1.0,-9999,-9999,-9999
1473384874315,-9999,-9999,997.85,-0.21068975,0.1340753,9.672575,0.047590613,-0.33448154,-0.13862324,29.0,9.5625,2.5,288.31696,-9999,-0.04520403,0.028099801,0.02321288,1.0,-9999,-9999,-9999
1473384874417,-9999,-9999,997.88,-0.21068975,0.32561144,9.500193,0.07208744,-0.14987826,-0.23391533,28.5625,9.125,2.8125,288.22345,-9999,0.04642576,-0.03176499,-0.02443461,1.0,-9999,-9999,-9999
1473384874520,-9999,-9999,997.85,-0.19153613,0.38307226,9.595961,0.08636263,-0.08968085,-0.30935478,28.625,9.5625,2.1875,288.14154,-9999,-0.012217305,0.0,0.004886922,1.0,-9999,-9999,-9999
1473384874631,-9999,-9999,997.93,-0.30645782,0.21068975,9.691729,-0.0017180145,-0.28377524,-0.06196785,29.0,9.4375,2.5625,288.13995,-9999,0.019547688,-0.02687807,0.0061086523,1.0,-9999,-9999,-9999
1473384874735,-9999,-9999,997.82,-0.15322891,0.4405331,9.461885,0.052404314,-0.07287824,-0.3478899,28.6875,9.1875,2.375,288.11502,-9999,0.015882496,-0.009773844,-0.004886922,1.0,-9999,-9999,-9999
1473384874841,-9999,-9999,997.88,-0.15322891,0.34476504,9.519346,0.11485178,-0.16314301,-0.21398544,28.1875,9.0,2.125,288.08395,-9999,0.009773844,0.029321533,-0.0012217305,1.0,-9999,-9999,-9999
1473384874942,-9999,-9999,997.85,-0.17238252,0.32561144,9.615114,0.018562272,-0.11744583,-0.21437836,28.375,9.375,2.1875,288.08212,-9999,-0.0012217305,-0.02076942,-0.014660766,1.0,-9999,-9999,-9999
1473384875046,-9999,-9999,997.88,-0.19153613,0.40222588,9.576807,0.050213784,-0.12581456,-0.23325443,28.75,9.0,2.375,288.02228,-9999,0.059864793,0.002443461,0.010995574,1.0,-9999,-9999,-9999
1473384875155,-9999,-9999,997.82,-0.1340753,0.38307226,9.5385,0.02415353,-0.15785438,-0.29019165,28.6875,8.875,2.375,287.8646,-9999,-0.015882496,0.0061086523,-0.007330383,1.0,-9999,-9999,-9999
1473384875260,-9999,-9999,997.82,-0.22984336,0.22984336,9.672575,0.06365375,-0.2620114,-0.19594574,28.4375,9.375,2.3125,287.82373,-9999,-0.004886922,-0.017104227,-0.010995574,1.0,-9999,-9999,-9999
1473384875365,-9999,-9999,997.88,-0.15322891,0.36391866,9.500193,0.019789949,-0.09635654,-0.21488094,29.125,9.375,2.4375,287.78918,-9999,0.030543262,0.010995574,0.0061086523,1.0,-9999,-9999,-9999
1473384875476,-9999,-9999,997.82,-0.19153613,0.32561144,9.672575,-0.04223925,-0.11409971,-0.27251053,29.125,8.9375,2.125,287.66537,-9999,-0.017104227,0.021991149,-0.0061086523,1.0,-9999,-9999,-9999
1473384875579,-9999,-9999,997.85,-0.19153613,0.30645782,9.576807,0.038302124,-0.15995383,-0.2160492,28.5,9.1875,2.0625,287.61914,-9999,0.008552114,0.017104227,0.002443461,1.0,-9999,-9999,-9999
1473384875681,-9999,-9999,997.82,-0.2681506,0.32561144,9.500193,-0.040473953,-0.15636241,-0.29195976,28.3125,9.5625,1.5,287.70618,-9999,-0.012217305,-0.007330383,-0.0036651916,1.0,-9999,-9999,-9999
1473384875788,-9999,-9999,997.82,-0.24899697,0.30645782,9.557653,-0.016756088,-0.16046104,-0.23512173,28.4375,9.1875,1.25,287.8443,-9999,0.021991149,0.010995574,0.009773844,1.0,-9999,-9999,-9999
1473384875891,-9999,-9999,997.85,-0.11492168,0.34476504,9.576807,0.13073385,-0.09921488,-0.1588211,28.875,9.0625,1.9375,287.79596,-9999,0.004886922,0.035430185,-0.0012217305,1.0,-9999,-9999,-9999
